IEcy,00415
ZHcy,00416
Zcy,00417
Icy,00418
Jcy,00419
Kcy,0041A
Lcy,0041B
Mcy,0041C
Ncy,0041D
Ocy,0041E
Pcy,0041F
Rcy,00420
Scy,00421
Tcy,00422
Ucy,00423
Fcy,00424
KHcy,00425
TScy,00426
CHcy,00427
SHcy,00428
SHCHcy,00429
HARDcy,0042A
Ycy,0042B
SOFTcy,0042C
Ecy,0042D
YUcy,0042E
YAcy,0042F
acy,00430
bcy,00431
vcy,00432
gcy,00433
dcy,00434
iecy,00435
zhcy,00436
zcy,00437
icy,00438
jcy,00439
kcy,0043A
lcy,0043B
mcy,0043C
ncy,0043D
ocy,0043E
pcy,0043F
rcy,00440
scy,00441
tcy,00442
ucy,00443
fcy,00444
khcy,00445
tscy,00446
chcy,00447
shcy,00448
shchcy,00449
hardcy,0044A
ycy,0044B
softcy,0044C
ecy,0044D
yucy,0044E
yacy,0044F
iocy,00451
djcy,00452
gjcy,00453
jukcy,00454
dscy,00455
iukcy,00456
yicy,00457
jsercy,00458
ljcy,00459
njcy,0045A
tshcy,0045B
kjcy,0045C
ubrcy,0045E
dzcy,0045F
ensp,02002
emsp,02003
emsp13,02004
emsp14,02005
numsp,02007
puncsp,02008
ThinSpace,02009
thinsp,02009
VeryThinSpace,0200A
hairsp,0200A
NegativeVeryThinSpace,0200B
NegativeThinSpace,0200B
NegativeMediumSpace,0200B
NegativeThickSpace,0200B
ZeroWidthSpace,0200B
zwnj,0200C
zwj,0200D
lrm,0200E
rlm,0200F
dash,02010
hyphen,02010
ndash,02013
mdash,02014
horbar,02015
Vert,02016
Verbar,02016
OpenCurlyQuote,02018
lsquo,02018
rsquor,02019
CloseCurlyQuote,02019
rsquo,02019
sbquo,0201A
lsquor,0201A
OpenCurlyDoubleQuote,0201C
ldquo,0201C
rdquor,0201D
CloseCurlyDoubleQuote,0201D
rdquo,0201D
bdquo,0201E
ldquor,0201E
dagger,02020
ddagger,02021
Dagger,02021
bullet,02022
bull,02022
nldr,02025
mldr,02026
hellip,02026
permil,02030
pertenk,02031
prime,02032
Prime,02033
tprime,02034
backprime,02035
bprime,02035
lsaquo,02039
rsaquo,0203A
oline,0203E
caret,02041
hybull,02043
frasl,02044
bsemi,0204F
qprime,02057
MediumSpace,0205F
NoBreak,02060
af,02061
ApplyFunction,02061
it,02062
InvisibleTimes,02062
ic,02063
InvisibleComma,02063
euro,020AC
TripleDot,020DB
tdot,020DB
DotDot,020DC
complexes,02102
Copf,02102
incare,02105
gscr,0210A
HilbertSpace,0210B
Hscr,0210B
hamilt,0210B
Poincareplane,0210C
Hfr,0210C
Hopf,0210D
quaternions,0210D
planckh,0210E
hbar,0210F
plankv,0210F
hslash,0210F
planck,0210F
imagline,02110
Iscr,02110
Im,02111
imagpart,02111
Ifr,02111
image,02111
lagran,02112
Laplacetrf,02112
Lscr,02112
ell,02113
naturals,02115
Nopf,02115
numero,02116
copysr,02117
wp,02118
weierp,02118
primes,02119
Popf,02119
Qopf,0211A
rationals,0211A
realine,0211B
Rscr,0211B
Re,0211C
realpart,0211C
Rfr,0211C
real,0211C
Ropf,0211D
reals,0211D
rx,0211E
TRADE,02122
trade,02122
Zopf,02124
integers,02124
ohm,02126
mho,02127
zeetrf,02128
Zfr,02128
iiota,02129
angst,0212B
Bernoullis,0212C
Bscr,0212C
bernou,0212C
Cayleys,0212D
Cfr,0212D
escr,0212F
expectation,02130
Escr,02130
Fouriertrf,02131
Fscr,02131
Mellintrf,02133
Mscr,02133
phmmat,02133
orderof,02134
oscr,02134
order,02134
aleph,02135
alefsym,02135
beth,02136
gimel,02137
daleth,02138
DD,02145
CapitalDifferentialD,02145
dd,02146
DifferentialD,02146
exponentiale,02147
ee,02147
ExponentialE,02147
ii,02148
ImaginaryI,02148
frac13,02153
frac23,02154
frac15,02155
frac25,02156
frac35,02157
frac45,02158
frac16,02159
frac56,0215A
frac18,0215B
frac38,0215C
frac58,0215D
frac78,0215E
leftarrow,02190
LeftArrow,02190
slarr,02190
ShortLeftArrow,02190
larr,02190
uparrow,02191
UpArrow,02191
ShortUpArrow,02191
uarr,02191
rightarrow,02192
RightArrow,02192
srarr,02192
ShortRightArrow,02192
rarr,02192
downarrow,02193
DownArrow,02193
ShortDownArrow,02193
darr,02193
leftrightarrow,02194
LeftRightArrow,02194
harr,02194
updownarrow,02195
UpDownArrow,02195
varr,02195
UpperLeftArrow,02196
nwarrow,02196
nwarr,02196
UpperRightArrow,02197
nearrow,02197
nearr,02197
searrow,02198
LowerRightArrow,02198
searr,02198
swarrow,02199
LowerLeftArrow,02199
swarr,02199
nleftarrow,0219A
nlarr,0219A
nrightarrow,0219B
nrarr,0219B
rightsquigarrow,0219D
rarrw,0219D
